CLUSTER,SIZE,ES,LIST (similarity>=0.85)
1,56,"(8,9,12,13,16,17,18,19,20)","PDI-231,CV2-2325,A8-1,COVA2-04,Windsor-C98C7,P5A-3C8,CB6,C1A-B12,C102,BG4-25,BD-629,BD-604,P5A-2F11,AZ090,PDI-42,BD-508,BD-503,TAU-2303,scFv-E4,R40-1G8,PDI-37,PDI-222,P4A1,P2C-1F11,P22A-1D1,Omi-3,Omi-18,Minenkova-76,ION-360,CV30,COVOX-40,COVOX-269,COVOX-253,COVOX-222,COVOX-150,CoV11,CC12-3,C099,C098,Beta-27,BD-744,BD-236,ab1,WRAIR-2125,UT28K,CV503,Windsor-G32A4,COV2-2196,STE90-C11,P5A-1B8,LY-CoV481,FI-3A,B38,A19-61-1,910-30,10D12-ab1,COVOX-158"
2,45,"(8,9,13,15,16,18,19,20)","nCoV-61,TAU-2303,scFv-E4,R40-1G8,PDI-37,PDI-222,P4A1,P2C-1F11,P22A-1D1,Omi-3,Omi-18,Minenkova-76,ION-360,CV30,COVOX-40,COVOX-269,COVOX-253,COVOX-222,COVOX-150,CoV11,CC12-3,C099,C098,Beta-27,BD-744,BD-236,ab1,P2B-1A10,STE90-C11,P5A-1B8,LY-CoV481,FI-3A,B38,A19-61-1,910-30,10D12-ab1,ZCB11,XGv265,Omi-12,Ab-58G6,CV2-1169,B1-182-1,A23-58-1,P5A-3A1,LY-CoV488,BD-515"
3,39,"(7,8,9,12,13,16,18,19,20,22)","P5A-1D2,C1A-F10,C1A-C2,Beta-47,PDI-96,Windsor-C98C7,P5A-3C8,CB6,C1A-B12,C102,BG4-25,BD-629,BD-604,TAU-2303,scFv-E4,R40-1G8,PDI-37,PDI-222,P4A1,P2C-1F11,P22A-1D1,Omi-3,Omi-18,Minenkova-76,ION-360,CV30,COVOX-40,COVOX-269,COVOX-253,COVOX-222,COVOX-150,CoV11,CC12-3,C099,C098,Beta-27,BD-744,BD-236,ab1,C105"
4,21,"(11,12,13,17,18,19,20,21)","S2-M11,P5A-1B9,P2C-1A3,Fab2-4,Fab2-15,C121,2B04,TAU-2212,CA521,nCov-617,COVOX-384,C002,Fab2-43,COVOX-316,Ab496,Ab354,2H2,Omi-25,Fab-15033-7,Fab-15033,WRAIR-2173,P2B4"
5,19,"(2,10,11,12,21,22)","S2X324,M8a-28,LY-CoV1404,C032,BD55-5840,BD55-3546,BD-812,32C7-Fab30,XG005,X10,JS026,FD-11A,A5-10,2H04,PR961,hu33,Fab2-7,COV2-2130,BD-804,AZD-1061"
6,18,"(2,3,11,12,13,14,15,17,19,20)","R1-32,PDI-215,Li-D2,COVOX-58,BD-813,6M6,35B5,BD-667,Ab326,Zhou-47D1,PDI-93,P2B-2F6,P1D9,Omi-31,NA8,N-612-017,Fab1-57,Fab-52,COVOX-278"
7,16,"(2,3,11,12,15,17,19,20,21)","Omi-6,BD-667,CV07-270,Zhou-47D1,PDI-93,P2B-2F6,P1D9,Omi-31,NA8,N-612-017,Fab1-57,Fab-52,COVOX-278,C548,PD36-5D2,Omi-32,JMB2002"
8,15,"(8,13,16,18,19,20,22)","BD-836,UT28K,CV503,Windsor-G32A4,COV2-2196,STE90-C11,P5A-1B8,LY-CoV481,FI-3A,B38,A19-61-1,910-30,10D12-ab1,CV2-1169,B1-182-1,A23-58-1"
9,15,"(2,11,12,15,17,18,19,20)","BD-368-2,Zhou-47D1,PDI-93,P2B-2F6,P1D9,Omi-31,NA8,N-612-017,Fab1-57,Fab-52,COVOX-278,DH1041,WRAIR-2173,P2B4,NE12,CV05-163"
10,11,"(7,9,11,12,13,16,17,18,19,20,21,22)","PDI-210,S-B8,Beta-29,PR1077,REGN10933,C1A-B3,Beta-22,S2K146,MW07,XGv051,Ab445,P5A-1B6"
