CLUSTER,SIZE,ES,LIST (similarity>=0.85)
N1,13,"(4,5,6,7,8,10,21,22)","Xu-Nb12,VHH-72,Nb95,VHH-V,1-2C7,Xu-Nb30,WNb-10,VHH-W,VHH-E,Re9D06,NM1226,Nb34,Hong-7A3,Huo-C1"
N2,9,"(7,8,9,11,12,13,16,17,18,19,20,21,22)","B01,DL4,WNb-2,Re5D06,NIH-CoVnb-112,MR17,Sb14,Sb16,Nb6,Huo-C5"
N3,7,"(3,8,11,12,13,15,17,18,19,20)","Nb20,Sota-1C,NB1B11,F6,Nb21,Huo-H3,aRBD-7,aRBD-5"
N4,6,"(2,11,12,13,15,17,19,20)","H11-H4m,H11-H4,H11-D4,H11-H6,H11-B5,H11-A10,H11"
N5,6,"(2,3,11,12,14,15,17,18,19,20)","Maeda-P86,Sota-1C,Ty1,K-874A,VHH-G09,Nb17,DL28"
N6,6,"(2,3,7,8,11,12,13,14,15,17,18,19,20,22)","Hong-8A2,WNb-2,Re5D06,NIH-CoVnb-112,MR17,Sb45,NM1230"
N7,5,"(4,5,6,7,8,9,22)","VHH-F04,NB1A7,Huo-C1,Nb-2-38,Nb-1-8,Nb-1-25"
N8,4,"(11,12,13,17,18,19,20)","Wu-Nb22,H11-H6,H11-B5,H11-A10,H11"
N9,4,"(11,12,13,15,16,17,18,19,20,21,22)","Casasnovas-2-15,Huo-C5,VHH-U,VHH-12,VH-ab6"
N10,4,"(1,2,3,10,11,12,14,15,17,19,20,21)","Bn03-n3113v,VHH-G09,Nb17,DL28,N3113"
